Entity ;Entity Type ;Entity Subtype ;Code ;Remarks 
Unspecified Air; ; ;000000; 
Military ; ; ;110000;For training or hierarchical purposes only 
 ;Fixed Wing ; ;110100; 
 ; ;Medical Evacuation (MEDEVAC) ;110101; 
 ; ;Attack/Strike ;110102; 
 ; ;Bomber ;110103; 
 ; ;Fighter ;110104; 
 ; ;Fighter/Bomber ;110105;From MIL-STD-2525. 
 ; ;{reserved for future use} ;110106; 
 ; ;Cargo ;110107; 
 ; ;Electronic Combat (EC)/Jammer ;110108; 
 ; ;Tanker ;110109; 
 ; ;Patrol ;110110; 
 ; ;Reconnaissance ;110111; 
 ; ;Trainer ;110112; 
 ; ;Utility ;110113; 
 ; ;Vertical or Short Take-off and Landing (VSTOL) ;110114; 
 ; ;Airborne Command Post (ACP) ;110115; 
 ; ;Airborne Early Warning (AEW) ;110116; 
 ; ;Antisurface Warfare ;110117; 
 ; ;Antisubmarine Warfare ;110118; 
 ; ;Communications ;110119; 
 ; ;Combat Search and Rescue (CSAR) ;110120; 
 ; ;Electronic Support Measures(ESM);110121;MIL_STD-2525 uses ES 
 ; ;Government ;110122; 
 ; ;Mine Countermeasures (MCM) ;110123; 
 ; ;Personnel Recovery ;110124; 
 ; ;Search and Rescue ;110125; 
 ; ;Special Operations Forces ;110126; 
 ; ;Ultra Light ;110127; 
 ; ;Photographic Reconnaissance;110128;From MIL-STD-2525. 
 ; ;Very Important Person (VIP) ;110129; 
 ; ;Suppression of Enemy Air Defence ;110130; 
 ; ;Passenger ;110131; 
 ; ;Escort ;110132;From MIL-STD-2525. 
 ; ;Electronic Attack (EA) ;110133;From MIL-STD-2525. 
 ;Rotary Wing ; ;110200; 
 ;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV); ;110300; 
 ;Vertical Take-off UAV (VT-UAV) ; ;110400;From MIL-STD-2525. 
 ;Lighter Than Air ; ;110500; 
 ;Airship ; ;110600; 
 ;Tethered Lighter than Air; ;110700;From MIL-STD-2525. 
Civilian ; ; ;120000;For training or hierarchical purposes only 
 ;Fixed Wing ; ;120100; 
 ;Rotary Wing ; ;120200; 
 ;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV); ;120300;From MIL-STD-2525. 
 ;Lighter Than Air ; ;120400; 
 ;Airship ; ;120500; 
 ;Tethered Lighter than Air; ;120600;From MIL-STD-2525. 
Weapon ; ; ;130000;For training or hierarchical purposes only 
 ;Bomb ; ;130100;From MIL-STD-2525. 
 ;Decoy ; ;130200; 
Manual Track ; ; ;140000;From MIL-STD-2525.
