Entity ;Entity Type ;Entity Subtype ;Code ;  Remarks 
Unspecified Military; ; ;000000; 
Military ; ; ;110000;For training or hierarchical purposes only 
 ;Space Vehicle ; ;110100; 
 ;Re-Entry Vehicle ; ;110200; 
 ;Planet Lander ; ;110300; 
 ;Orbiter Shuttle ; ;110400; 
 ;Capsule ; ;110500; 
 ;Satellite, General ; ;110600; 
 ;Satellite ; ;110700; 
 ;Antisatellite Weapon ; ;110800; 
 ;Astronomical Satellite ; ;110900; 
 ;Biosatellite ; ;111000; 
 ;Communications Satellite ; ;111100; 
 ;Earth Observation Satellite ; ;111200; 
 ;Miniaturized Satellite ; ;111300; 
 ;Navigational Satellite ; ;111400; 
 ;Reconnaissance Satellite ; ;111500; 
 ;Space Station ; ;111600; 
 ;Tethered Satellite ; ;111700; 
 ;Weather Satellite ; ;111800; 
 ;Space Launched Vehicle (SLV) ; ;111900;From MIL-STD-2525. 
Civilian ; ; ;120000;For training or hierarchical purposes only 
 ;Orbiter Shuttle ; ;120100; 
 ;Capsule ; ;120200; 
 ;Satellite ; ;120300; 
 ;Astronomical Satellite ; ;120400; 
 ;Biosatellite ; ;120500; 
 ;Communications Satellite ; ;120600; 
 ;Earth Observation Satellite ; ;120700; 
 ;Miniaturized Satellite ; ;120800; 
 ;Navigational Satellite ; ;120900; 
 ;Space Station ; ;121000; 
 ;Tethered Satellite ; ;121100; 
 ;Weather Satellite ; ;121200; 
Manual Track ; ; ;130000;From MIL-STD-2525. 
